state,latitude,longitude
California,37.3505886,-121.9221827
California,37.24865131,-121.8028797
California,37.33190682,-121.9086599
California,37.72336091,-122.1539385
California,35.26261464,-120.6776981
California,33.137033,-117.17627
California,37.54469579,-122.291492
California,33.751044,-118.307344
California,37.96956572,-122.516752
California,38.0042166,-122.544202
California,37.7616424,-121.9626094
California,37.77515171,-121.978018
California,36.62262582,-121.8436613
California,33.7603678,-117.8861082
California,33.77336675,-117.8670125
California,33.69835441,-117.8849986
California,33.73867473,-117.9196569
California,34.43950397,-119.7491599
California,37.3520612,-121.9601808
California,37.3808995,-121.9744656
California,37.3948049,-121.9464074
California,34.3944487,-118.462761
California,36.98261372,-122.0293636
California,34.9213223,-120.4330122
California,34.0177215,-118.4990088
California,34.0319858,-118.4828906
California,38.417914,-122.712384
California,38.458189,-122.730058
California,32.8410211,-116.9814123
California,33.7829807,-118.0723415
California,36.57708095,-119.6323649
California,34.15689574,-118.4373005
California,34.1515368,-118.4536181
California,33.81192512,-118.1812713
California,34.2841068,-118.7753668
California,33.952512,-118.1856175
California,38.9479866,-119.9580307
California,38.054047,-121.374767
California,37.9946689,-121.3134374
California,34.14355872,-118.3977093
California,37.3677565,-122.036154
California,34.1703974,-118.5411936
California,33.52408851,-117.1589875
California,33.481129,-117.096994
California,34.10463595,-118.0738962
California,34.1822146,-118.8849829
California,34.19116189,-118.9376643
California,33.83498813,-118.3528047
California,33.8018953,-118.3287984
California,33.83295,-118.349293
California,37.75546915,-121.4649485
California,36.22621559,-119.328938
California,37.520645,-120.880929
California,33.74511975,-117.8146216
California,33.712719,-117.817008
California,39.15164538,-123.1993597
California,37.60245939,-122.0690668
California,34.13235746,-117.636665
California,34.1083823,-117.6699027
California,38.3669041,-121.9624169
California,34.41791932,-118.561431
California,34.4426573,-118.5737746
California,38.13695774,-122.2150148
California,34.1723139,-118.4483088
California,34.2643651,-119.2126867
California,34.26674003,-119.2460875
California,36.29236399,-119.3143947
California,33.200884,-117.244767
California,34.02788977,-117.8338552
California,37.8956359,-122.061034
California,33.97444314,-118.2335055
California,34.0730989,-117.8821127
California,34.0711073,-117.9327713
California,38.5899901,-121.549642
California,34.15371792,-118.7965404
California,33.75940417,-118.0075772
California,33.94105821,-118.0462111
California,33.9443999,-117.9948264
California,34.16982121,-118.6052853
California,34.187712,-118.5980033
California,39.1425828,-121.6297616
Colorado,39.81138705,-105.1396782
Colorado,39.79394227,-105.080272
Colorado,39.85612607,-105.08244
Colorado,39.69457177,-104.8662979
Colorado,39.73989855,-104.827771
Colorado,39.6743652,-104.8106556
Colorado,39.67438799,-104.8695771
Colorado,39.6042842,-104.7074551
Colorado,39.76402984,-104.7747054
Colorado,39.64020421,-104.7920474
Colorado,39.5945685,-104.806396
Colorado,40.0164091,-105.2578739
Colorado,40.01737499,-105.2833911
Colorado,39.9570906,-104.7758057
Colorado,39.41447192,-104.8640043
Colorado,39.59543648,-104.8487874
Colorado,39.61124137,-104.7526038
Colorado,39.56723689,-104.8805055
Colorado,38.89705694,-104.8526434
Colorado,38.8331152,-104.8233729
Colorado,38.8016856,-104.8191388
Colorado,38.87706801,-104.718761
Colorado,38.90433197,-104.774169
Colorado,38.90253351,-104.8181072
Colorado,38.94636373,-104.8022977
Colorado,38.8454709,-104.7565472
Colorado,39.80400745,-104.9308275
Colorado,39.71855993,-104.9495614
Colorado,39.7503934,-104.9991429
Colorado,39.74538158,-104.991604
Colorado,39.67828797,-104.9678078
Colorado,39.73995496,-104.9572269
Colorado,39.66641697,-104.9398869
Colorado,39.76198306,-105.034841
Colorado,39.7115057,-104.9830928
Colorado,39.77766645,-104.8464328
Colorado,39.72548669,-104.9870172
Colorado,39.652405,-104.9032
Colorado,39.75785136,-104.9015616
Colorado,39.72831433,-104.9409934
Colorado,39.6165527,-105.0904422
Colorado,39.7017993,-104.9124564
Colorado,39.65358492,-104.9924267
Colorado,39.8842261,-105.0247083
Colorado,40.52377696,-105.0368265
Colorado,40.57830132,-105.077433
Colorado,39.083436,-108.5879275
Colorado,40.41203572,-104.6914819
Colorado,39.59683886,-104.8880828
Colorado,39.62373123,-104.8960671
Colorado,39.537149,-105.013862
Colorado,39.5424541,-104.9399959
Colorado,39.98638566,-105.097944
Colorado,39.73410047,-105.1599753
Colorado,39.7174605,-105.1336253
Colorado,39.66072835,-105.0808976
Colorado,39.71029637,-105.082146
Colorado,39.7405611,-105.0783054
Colorado,39.58031769,-105.1349923
Colorado,39.6134379,-104.9883933
Colorado,39.5802065,-104.9613258
Colorado,39.61190845,-105.0956733
Colorado,39.56249,-104.874908
Colorado,39.5369564,-104.879417
Colorado,40.15283135,-105.111099
Colorado,40.189207,-105.101803
Colorado,39.96621597,-105.1639703
Colorado,40.40752588,-105.0978638
Colorado,40.4083052,-105.0077249
Colorado,39.5584899,-104.7771484
Colorado,39.51869503,-104.7704022
Colorado,38.303292,-104.614979
Colorado,39.63028742,-106.0714222
Colorado,39.87117687,-104.9762458
Colorado,39.9143671,-104.9750523
Colorado,39.95919,-104.99359
Colorado,39.912141,-105.051381
Colorado,39.8288063,-105.0255025
Colorado,39.7631512,-105.1400656
Connecticut,41.27731142,-72.82831742
Connecticut,41.17842824,-73.18194729
Connecticut,41.82332323,-72.883227
Connecticut,41.39248218,-73.52250704
Connecticut,41.380326,-73.47943
Connecticut,41.09095263,-73.45564055
Connecticut,41.0806742,-73.4614135
Connecticut,41.99055716,-72.58473317
Connecticut,41.15703885,-73.24059272
Connecticut,41.72037396,-72.6209659
Connecticut,41.36887694,-72.91832854
Connecticut,41.812806,-72.527117
Connecticut,41.55468,-72.67984
Connecticut,41.23845337,-73.03542478
Connecticut,41.30639517,-72.92693399
Connecticut,41.650066,-72.729361
Connecticut,41.04242181,-73.57832705
Connecticut,41.27588198,-73.12399876
Connecticut,41.638174,-72.8733701
Connecticut,41.497039,-72.806854
Connecticut,41.72472959,-72.75709768
Connecticut,41.76188939,-72.74307216
Connecticut,41.27118783,-72.97258821
Connecticut,41.69268358,-72.65518357
Delaware,39.18678447,-75.53655817
Delaware,39.44580632,-75.73467348
Delaware,39.66378445,-75.6068725
Delaware,39.677884,-75.652284
Delaware,39.68377824,-75.74772735
Delaware,39.68767491,-75.65245349
Delaware,38.717843,-75.111239
Delaware,39.7902115,-75.5457651
Delaware,39.73293718,-75.63955922
Florida,28.66129831,-81.39668856
Florida,28.6735515,-81.46992336
Florida,25.95018504,-80.14567645
Florida,26.36554161,-80.07898699
Florida,26.3688274,-80.12805007
Florida,26.400853,-80.120509
Florida,26.34951136,-80.15744496
Florida,26.366093,-80.20238
Florida,26.5138431,-80.058808
Florida,26.54267805,-80.0902187
Florida,26.5271441,-80.1860513
Florida,27.46318454,-82.57834493
Florida,27.93874777,-82.32362886
Florida,27.932463,-82.326069
Florida,27.8931824,-82.2723949
Florida,28.5342859,-82.5066036
Florida,26.67288627,-81.9285345
Florida,26.6109827,-81.940545
Florida,28.01467734,-82.73444403
Florida,27.96114536,-82.72752726
Florida,27.91683597,-82.73144484
Florida,28.5456987,-81.73009849
Florida,26.2528656,-80.25231917
Florida,26.283486,-80.202631
Florida,26.2874054,-80.2511132
Florida,25.5896308,-80.3586636
Florida,26.04869664,-80.15950362
Florida,28.2252006,-81.643959
Florida,26.094269,-80.250265
Florida,26.04704232,-80.2510543
Florida,29.2188702,-81.0970811
Florida,29.1808275,-81.08063716
Florida,26.3070874,-80.09320808
Florida,28.9871532,-81.29931061
Florida,26.4582383,-80.1201601
Florida,26.43919399,-80.07845579
Florida,30.3899771,-86.4249352
Florida,25.7934463,-80.3375674
Florida,26.403546,-81.811326
Florida,28.6596911,-81.3407499
Florida,26.10086693,-80.12666719
Florida,26.15056453,-80.1188865
Florida,26.12128776,-80.17647566
Florida,26.1877608,-80.11555793
Florida,26.49183385,-81.78677409
Florida,26.5586902,-81.871154
Florida,26.6083701,-81.8105661
Florida,26.20478634,-80.14741757
Florida,29.65229226,-82.34149668
Florida,29.6736412,-82.33867029
Florida,29.61940629,-82.38130673
Florida,26.64823558,-80.14615553
Florida,25.94126835,-80.30643629
Florida,25.867047,-80.29195
Florida,25.89481691,-80.35074015
Florida,26.03305612,-80.14206884
Florida,25.4790088,-80.4419205
Florida,30.17355627,-81.62783786
Florida,30.28711283,-81.46036845
Florida,30.14131051,-81.54639779
Florida,30.25457634,-81.53278941
Florida,30.3240764,-81.6703194
Florida,30.48142958,-81.63747586
Florida,30.19387122,-81.73845549
Florida,30.31936528,-81.55489914
Florida,30.196356,-81.829889
Florida,30.27124704,-81.3888743
Florida,26.934163,-80.1306313
Florida,28.34558034,-81.42075173
Florida,28.346371,-81.486212
Florida,28.3321649,-81.5327309
Florida,28.75567321,-81.35075834
Florida,26.5876012,-80.1485279
Florida,28.00167138,-81.95652422
Florida,28.0958373,-81.9746955
Florida,27.4321292,-82.4211034
Florida,27.89409107,-82.78003659
Florida,26.19154931,-80.25268509
Florida,28.1933432,-82.3954687
Florida,28.078395,-80.64752089
Florida,28.23914144,-80.72848018
Florida,25.7692416,-80.3598109
Florida,25.6862634,-80.3643858
Florida,25.77273606,-80.26398949
Florida,25.68454606,-80.41519647
Florida,25.6264966,-80.3945468
Florida,25.7899171,-80.3871844
Florida,25.9580522,-80.1421209
Florida,25.74918684,-80.33610395
Florida,25.74931219,-80.25426375
Florida,25.80882356,-80.31533222
Florida,25.91286118,-80.33091748
Florida,25.98021334,-80.35695227
Florida,28.82472077,-81.64073361
Florida,26.17227731,-81.80079516
Florida,26.065774,-81.698679
Florida,26.254102,-81.8001898
Florida,28.2053129,-82.6666684
Florida,25.91253024,-80.15779179
Florida,27.03733331,-82.21619477
Florida,29.16710005,-82.16838951
Florida,28.55248571,-81.52695895
Florida,28.3933146,-81.4864466
Florida,28.59717445,-81.21645095
Florida,28.38689283,-81.24501852
Florida,28.38128403,-81.40509368
Florida,28.4496456,-81.4020285
Florida,28.51678229,-81.37613156
Florida,28.5142663,-81.3109937
Florida,28.51208482,-81.4597723
Florida,28.553571,-81.346887
Florida,28.48512159,-81.43154115
Florida,28.55352649,-81.20656532
Florida,28.4930203,-81.4286313
Florida,28.46763233,-81.30852625
Florida,28.45059812,-81.48896473
Florida,28.3464523,-81.6112848
Florida,28.435468,-81.301371
Florida,29.26379914,-81.10531615
Florida,28.6562891,-81.2033689
Florida,26.8490078,-80.0851436
Florida,26.83876695,-80.10890162
Florida,26.88254682,-80.11550597
Florida,29.4762979,-81.19619297
Florida,28.07317467,-82.73829772
Florida,30.1889939,-85.6538631
Florida,30.2238322,-85.872215
Florida,26.00845192,-80.29500488
Florida,26.00678298,-80.35630208
Florida,30.5331209,-87.2275807
Florida,25.65706049,-80.32749741
Florida,27.83877106,-82.6846653
Florida,26.12151288,-80.3306884
Florida,26.147191,-80.256386
Florida,26.26065656,-80.09890993
Florida,29.11136811,-81.02645685
Florida,28.29081059,-82.7119125
Florida,27.31065262,-80.40642135
Florida,29.86960755,-81.323895
Florida,28.25254374,-81.31628411
Florida,27.78555672,-82.72892202
Florida,27.80467005,-82.63883005
Florida,27.7801363,-82.6387503
Florida,28.8002259,-81.3336244
Florida,27.31810978,-82.5293882
Florida,27.337224,-82.463164
Florida,27.38768782,-82.4581399
Florida,27.84161002,-82.7944858
Florida,25.69952479,-80.29501149
Florida,27.17797051,-80.23606648
Florida,27.23478472,-80.26763417
Florida,26.14989882,-80.32448515
Florida,30.43612514,-84.2583944
Florida,30.44878968,-84.31106364
Florida,30.50443578,-84.24967577
Florida,30.4353117,-84.2926217
Florida,28.06358655,-82.50338113
Florida,28.13128526,-82.36579343
Florida,27.9601701,-82.50500973
Florida,27.96470755,-82.52085684
Florida,28.05487328,-82.42981196
Florida,27.9474778,-82.52395334
Florida,27.89343931,-82.50586516
Florida,27.93968449,-82.48338686
Florida,28.06646553,-82.57050849
Florida,28.043468,-82.590389
Florida,28.0547369,-82.3990932
Florida,27.63826445,-80.44798373
Florida,26.663797,-80.202153
Florida,26.708201,-80.098556
Florida,26.067603,-80.363058
Florida,28.4931741,-81.5092683
Florida,28.551525,-81.5854101
Florida,28.52086293,-81.58684953
Florida,28.00360259,-81.71751415
Florida,28.59363199,-81.3653155
Florida,28.6469345,-81.2700902
Georgia,31.6170158,-84.221878
Georgia,34.05176247,-84.28630242
Georgia,34.09082268,-84.2749303
Georgia,33.9473734,-83.40882518
Georgia,33.78399691,-84.38384298
Georgia,33.6422132,-84.4292545
Georgia,33.9279656,-84.3442099
Georgia,33.7885662,-84.326684
Georgia,33.8016155,-84.3927512
Georgia,33.8101162,-84.4131588
Georgia,33.84586266,-84.25600603
Georgia,33.81468877,-84.31016043
Georgia,33.88102858,-84.46140194
Georgia,33.845309,-84.36136
Georgia,33.84814155,-84.37417909
Georgia,33.92378392,-84.34106851
